poll_id,date,pollster,yes,no,alt,per_yes,per_no
81670,2022-11-15,YouGov,87,87,25,45.78947368421053,45.78947368421053
81706,2022-11-22,YouGov,88,77,34,47.05882352941176,41.17647058823529
81724,2022-11-29,YouGov,80,86,35,42.32804232804233,45.5026455026455
81725,2022-11-22,Marquette Law School,88,112,0,44,56.00000000000001
81769,2022-12-06,YouGov,81,91,28,42.857142857142854,48.148148148148145
81826,2022-12-13,YouGov,81,87,31,43.08510638297872,46.27659574468085
81830,2022-12-12,Quinnipiac,71,109,20,37.17277486910995,57.06806282722513
81873,2022-12-20,YouGov,89,83,27,46.8421052631579,43.684210526315795
81923,2023-01-03,YouGov,85,84,31,45.21276595744681,44.680851063829785
81966,2023-01-10,YouGov,87,80,34,46.524064171122994,42.780748663101605
81978,2023-01-09,YouGov,42,46,13,41.584158415841586,45.54455445544555
81997,2023-01-17,YouGov,95,75,30,50.264550264550266,39.682539682539684
82044,2023-01-24,YouGov,83,84,33,44.38502673796791,44.919786096256686
82046,2023-01-20,Marquette Law School,95,105,0,47.5,52.5
82091,2023-01-31,YouGov,76,86,36,41.30434782608695,46.73913043478261
82095,2023-01-30,Beacon/Shaw,41,53,6,41,53
82126,2023-02-07,YouGov,87,82,31,46.03174603174603,43.386243386243386
82201,2023-02-14,YouGov,85,84,31,45.21276595744681,44.680851063829785
82236,2023-02-21,YouGov,86,85,29,45.5026455026455,44.97354497354497
82287,2023-02-28,YouGov,81,85,33,43.54838709677419,45.69892473118279
82341,2023-03-07,YouGov,91,83,27,47.89473684210526,43.684210526315795
82375,2023-03-14,YouGov,93,78,30,49.2063492063492,41.269841269841265
82422,2023-03-21,YouGov,90,77,32,48.1283422459893,41.17647058823529
82469,2023-03-28,YouGov,88,83,28,46.808510638297875,44.148936170212764
82470,2023-03-22,Marquette Law School,88,112,0,44,56.00000000000001
82534,2023-04-04,YouGov,89,82,28,47.340425531914896,43.61702127659575
82590,2023-04-11,YouGov,88,84,27,46.808510638297875,44.680851063829785
82625,2023-04-17,YouGov,90,93,17,46.391752577319586,47.93814432989691
82627,2023-04-18,YouGov,88,84,28,46.56084656084656,44.44444444444444
82685,2023-04-25,YouGov,97,79,24,51.05263157894737,41.578947368421055
82687,2023-04-24,Beacon/Shaw,41,55,5,40.5940594059406,54.45544554455446
82727,2023-05-02,YouGov,87,87,26,45.78947368421053,45.78947368421053
82741,2023-05-02,Change Research,38,56,5,38.38383838383838,56.56565656565656
82785,2023-05-09,YouGov,95,81,25,50,42.63157894736842
82832,2023-05-16,YouGov,92,80,29,48.93617021276596,42.5531914893617
82870,2023-05-18,Marquette Law School,83,117,0,41.5,58.5
82871,2023-05-23,YouGov,94,87,20,48.95833333333333,45.3125
82873,2023-05-22,Quinnipiac,70,112,18,36.45833333333333,58.333333333333336
82894,2023-05-19,Kaiser Family Foundation,41,58,1,41,57.99999999999999
82912,2023-05-31,YouGov,70,107,22,37.03703703703704,56.613756613756614
82955,2023-06-06,YouGov,74,103,22,39.15343915343915,54.4973544973545
82974,2023-04-11,YouGov,94,58,48,52.513966480446925,32.402234636871505
83004,2023-06-13,YouGov,78,102,21,40.625,53.125
83022,2023-06-08,YouGov,41,47,12,41,47
83048,2023-06-20,YouGov,84,96,21,43.75,50
83062,2023-06-19,Quinnipiac,59,117,24,31.216931216931215,61.904761904761905
83115,2023-06-27,YouGov,70,102,27,37.4331550802139,54.54545454545454
83143,2023-07-05,YouGov,79,100,21,41.578947368421055,52.63157894736842
83189,2023-07-11,YouGov,80,102,18,41.45077720207254,52.84974093264248
83233,2023-07-18,YouGov,80,100,21,41.66666666666667,52.083333333333336
83237,2023-07-17,Quinnipiac,71,111,18,36.97916666666667,57.8125
83287,2023-07-25,YouGov,84,93,22,44.44444444444444,49.2063492063492
83288,2023-07-12,Marquette Law School,92,108,0,46,54
83310,2023-07-27,Gallup,40,56,4,40,56.00000000000001
83331,2023-08-01,YouGov,83,97,21,43.005181347150256,50.259067357512954
83375,2023-08-08,YouGov,81,98,21,42.1875,51.041666666666664
83418,2023-08-15,YouGov,76,99,23,40,52.10526315789473
83962,2023-08-22,YouGov,76,104,22,39.175257731958766,53.608247422680414
84039,2023-08-29,YouGov,75,104,20,39.26701570680628,54.45026178010471
84095,2023-09-05,YouGov,81,95,24,42.40837696335078,49.73821989528796
84136,2023-09-12,YouGov,75,101,25,39.0625,52.604166666666664
84153,2023-08-15,SSRS,49,51,0,49,51
84192,2023-09-19,YouGov,79,101,20,41.14583333333333,52.604166666666664
84248,2023-09-23,Gallup,41,58,2,40.5940594059406,57.42574257425742
84250,2023-09-26,YouGov,74,105,21,38.54166666666667,54.6875
84306,2023-10-03,YouGov,82,98,21,42.2680412371134,50.51546391752577
84308,2023-09-25,Marquette Law School,133,167,0,44.333333333333336,55.666666666666664
84316,2023-06-09,Spry Strategies,30.2,51,18.8,30.2,51
84373,2023-10-10,YouGov,79,97,23,41.578947368421055,51.05263157894737
84446,2023-10-17,YouGov,79,97,24,41.361256544502616,50.78534031413613
84487,2023-10-24,YouGov,69,107,23,36.31578947368421,56.315789473684205
84513,2023-10-31,YouGov,75,98,26,39.682539682539684,51.85185185185185
84611,2023-11-07,YouGov,81,99,20,42.1875,51.5625
