age,marital,address,income,inccat,car,carcat,ed,employ,retire,empcat,jobsat,gender,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
55,Married,12,72,$50 - $74,36.2,Luxury,Did not complete high school,23,0,3,5,f,4,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
56,Unmarried,29,153,$75+,76.9,Luxury,Did not complete high school,35,0,3,4,m,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0
28,Married,9,28,$25 - $49,13.7,Economy,Some college,4,0,1,3,f,3,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1
24,Married,4,26,$25 - $49,12.5,Economy,College degree,0,0,1,1,m,3,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
25,Unmarried,2,23,Under $25,11.3,Economy,High school degree,5,0,2,2,m,2,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1
45,Married,9,76,$75+,37.2,Luxury,Some college,13,0,2,2,m,2,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1
42,Unmarried,19,40,$25 - $49,19.8,Standard,Some college,10,0,2,2,m,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1
35,Unmarried,15,57,$50 - $74,28.200000000000003,Standard,High school degree,1,0,1,1,f,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
46,Unmarried,26,24,Under $25,12.2,Economy,Did not complete high school,11,0,2,5,f,2,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1
34,Married,0,89,$75+,46.1,Luxury,Some college,12,0,2,4,m,6,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0
55,Married,17,72,$50 - $74,35.5,Luxury,Some college,2,0,1,3,f,2,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1
28,Unmarried,3,24,Under $25,11.8,Economy,College degree,4,0,1,5,m,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1
31,Married,9,40,$25 - $49,21.3,Standard,College degree,0,0,1,2,f,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
42,Unmarried,8,137,$75+,68.9,Luxury,Some college,3,0,1,1,f,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0
35,Unmarried,8,70,$50 - $74,34.1,Luxury,Some college,9,0,2,4,m,3,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1
52,Married,24,159,$75+,78.9,Luxury,College degree,16,0,3,5,m,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
21,Married,1,37,$25 - $49,18.6,Standard,Some college,0,0,1,1,m,7,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
32,Unmarried,0,28,$25 - $49,13.7,Economy,Did not complete high school,2,0,1,4,f,2,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
42,Unmarried,9,109,$75+,54.7,Luxury,Some college,20,0,3,3,f,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1
40,Married,12,117,$75+,58.3,Luxury,High school degree,19,0,3,5,f,4,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1
30,Unmarried,3,23,Under $25,11.8,Economy,Did not complete high school,3,0,1,3,m,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
48,Unmarried,14,21,Under $25,9.5,Economy,Some college,2,0,1,3,m,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0
39,Married,17,17,Under $25,8.5,Economy,College degree,2,0,1,3,m,5,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1
42,Married,5,34,$25 - $49,16.6,Standard,High school degree,13,0,2,3,f,4,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1
45,Married,12,115,$75+,57.400000000000006,Luxury,Did not complete high school,27,0,3,4,f,5,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1
51,Married,10,47,$25 - $49,23,Standard,Did not complete high school,9,0,2,3,m,3,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
39,Married,9,33,$25 - $49,16.3,Standard,Some college,1,0,1,1,m,4,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1
49,Unmarried,29,135,$75+,68.4,Luxury,High school degree,14,0,2,5,f,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1
52,Unmarried,20,272,$75+,74.9,Luxury,Did not complete high school,35,0,3,5,m,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1
53,Married,29,41,$25 - $49,19.9,Standard,Did not complete high school,9,0,2,4,m,2,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1
34,Unmarried,10,20,Under $25,10,Economy,Some college,0,0,1,1,f,1,1,1,1,1,NA,1,1,1,0,1,1,1,1,1,1
47,Married,6,22,Under $25,11.4,Economy,Some college,7,0,2,4,m,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
58,Unmarried,2,60,$50 - $74,29.700000000000003,Standard,College degree,1,0,1,1,m,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1
25,Married,0,58,$50 - $74,28.4,Standard,Some college,4,0,1,2,f,5,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
57,Married,28,92,$75+,45.5,Luxury,High school degree,25,0,3,5,f,4,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
30,Married,7,21,Under $25,10.5,Economy,College degree,4,0,1,1,m,2,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1
21,Unmarried,0,13,Under $25,6.300000000000001,Economy,Some college,0,0,1,1,f,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
24,Unmarried,5,24,Under $25,11.8,Economy,High school degree,2,0,1,3,f,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
56,Unmarried,7,213,$75+,81.7,Luxury,College degree,30,0,3,4,f,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1
24,Unmarried,2,19,Under $25,9.6,Economy,High school degree,0,0,1,3,m,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
41,Unmarried,13,59,$50 - $74,28.6,Standard,Some college,17,0,3,3,m,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1
57,Married,30,544,$75+,82.8,Luxury,High school degree,39,0,3,2,f,3,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
32,Unmarried,2,32,$25 - $49,15.7,Standard,High school degree,10,0,2,5,m,6,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
24,Unmarried,5,35,$25 - $49,17.400000000000002,Standard,College degree,0,0,1,2,m,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
49,Married,12,35,$25 - $49,17.3,Standard,Did not complete high school,4,0,1,3,m,3,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0
21,Unmarried,0,22,Under $25,11,Economy,Some college,0,0,1,1,f,2,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0
33,Married,12,39,$25 - $49,19.4,Standard,High school degree,8,0,2,2,f,5,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
56,Unmarried,12,134,$75+,67.2,Luxury,High school degree,19,0,3,3,m,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
54,Married,16,103,$75+,51.2,Luxury,Did not complete high school,28,0,3,2,m,6,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0
44,Married,8,240,$75+,75.2,Luxury,College degree,11,0,2,3,f,2,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1
20,Unmarried,1,20,Under $25,9.5,Economy,High school degree,0,0,1,2,m,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
47,Unmarried,15,118,$75+,59.8,Luxury,High school degree,26,0,3,5,m,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1
48,Unmarried,15,78,$75+,38,Luxury,College degree,18,0,3,4,f,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1
25,Unmarried,2,68,$50 - $74,33.5,Luxury,College degree,0,0,1,2,f,3,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1
52,Unmarried,13,27,$25 - $49,13.4,Economy,Did not complete high school,10,0,2,2,m,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
38,Married,0,19,Under $25,9.2,Economy,Did not complete high school,1,0,1,1,f,2,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
65,Married,5,20,Under $25,10.1,Economy,High school degree,10,1,2,3,m,2,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1
28,Married,2,31,$25 - $49,15.6,Standard,Some college,0,0,1,3,m,2,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
51,Married,28,51,$50 - $74,25.5,Standard,High school degree,9,0,2,3,m,4,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1
61,Married,34,84,$75+,41.5,Luxury,High school degree,18,0,3,3,m,2,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
46,Married,10,133,$75+,66.60000000000001,Luxury,Post-undergraduate degree,16,0,3,5,m,3,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1
43,Married,8,109,$75+,54.6,Luxury,High school degree,20,0,3,3,f,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
28,Unmarried,7,24,Under $25,12.5,Economy,Some college,2,0,1,2,m,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
39,Unmarried,6,57,$50 - $74,28.6,Standard,Some college,12,0,2,2,f,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
37,Unmarried,16,24,Under $25,11.3,Economy,Some college,7,0,2,1,m,2,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0
59,Married,35,32,$25 - $49,15.9,Standard,High school degree,0,0,1,1,m,2,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
55,Unmarried,29,65,$50 - $74,31.5,Luxury,College degree,10,0,2,4,f,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1
51,Married,20,70,$50 - $74,35.6,Luxury,Some college,8,0,2,3,m,2,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
48,Married,28,321,$75+,65.9,Luxury,Post-undergraduate degree,11,0,2,4,m,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
40,Unmarried,4,71,$50 - $74,35.1,Luxury,Some college,6,0,2,2,m,3,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
28,Unmarried,3,35,$25 - $49,17.3,Standard,Some college,6,0,2,5,f,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
39,Married,16,85,$75+,44,Luxury,High school degree,21,0,3,5,m,6,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
30,Married,0,20,Under $25,9.7,Economy,Some college,3,0,1,4,f,4,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
40,Married,5,33,$25 - $49,16.400000000000002,Standard,Some college,15,0,3,5,f,4,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
55,Unmarried,18,35,$25 - $49,17.2,Standard,College degree,2,0,1,2,f,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0
48,Married,0,50,$50 - $74,25.200000000000003,Standard,High school degree,11,0,2,3,f,4,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
48,Married,4,1116,$75+,74.1,Luxury,College degree,22,0,3,5,m,4,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1
49,Married,19,89,$75+,44.7,Luxury,High school degree,25,0,3,5,f,2,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
56,Unmarried,34,376,$75+,64.9,Luxury,Did not complete high school,35,0,3,5,f,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
44,Unmarried,22,54,$50 - $74,27.3,Standard,Did not complete high school,21,0,3,3,m,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1
43,Unmarried,12,68,$50 - $74,32.9,Luxury,High school degree,15,0,3,3,m,2,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1
61,Married,12,117,$75+,60.400000000000006,Luxury,College degree,5,0,2,4,f,3,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
37,Unmarried,18,29,$25 - $49,14.5,Economy,Post-undergraduate degree,4,0,1,4,m,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1
29,Married,2,25,$25 - $49,12.5,Economy,High school degree,10,0,2,2,m,2,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1
30,Married,10,27,$25 - $49,13.1,Economy,Did not complete high school,3,0,1,2,f,4,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1
48,Unmarried,7,129,$75+,65.5,Luxury,Some college,20,0,3,5,m,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0
51,Married,24,140,$75+,70.60000000000001,Luxury,Did not complete high school,32,0,3,4,m,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0
40,Married,15,57,$50 - $74,29.5,Standard,College degree,12,0,2,3,m,2,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1
66,Married,34,30,$25 - $49,15.5,Standard,Did not complete high school,4,0,1,4,f,4,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1
61,Married,18,23,Under $25,11.3,Economy,High school degree,27,1,3,4,m,3,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1
61,Married,6,64,$50 - $74,32,Luxury,Some college,25,0,3,5,f,2,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1
32,Married,10,26,$25 - $49,12.2,Economy,Some college,5,0,2,4,m,6,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1
25,Unmarried,6,27,$25 - $49,13.4,Economy,High school degree,1,0,1,1,m,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1
